date,sum,ti_1,to_1,t1_sum,ti_2,to_2,t2_sum,t_sum
20251101,157414,32391,29580,61971,29750,27995,57745,119716
20251102,170597,32537,32138,64675,30814,28404,59218,123893
20251103,152564,29360,31007,60367,28264,28079,56343,116710
20251104,137428,26985,27301,54286,26061,24195,50256,104542
20251105,136007,25537,26430,51967,25372,23811,49183,101150
20251106,144169,26887,28668,55555,26214,26834,53048,108603
20251107,159004,29616,30232,59848,28728,28375,57103,116951
20251108,156523,29417,30523,59940,29215,28690,57905,117845
20251109,167804,31238,32401,63639,30947,28606,59553,123192
20251110,147245,29152,29599,58751,28893,27322,56215,114966
20251111,140774,26859,28925,55784,26253,25999,52252,108036
20251112,125550,28628,27847,56475,24881,24253,49134,105609
20251113,155345,27983,29321,57304,26769,27188,53957,111261
20251114,165853,32618,31215,63833,30156,29513,59669,123502
20251115,164896,33278,31048,64326,30903,29707,60610,124936
20251116,176393,34280,33804,68084,32109,30117,62226,130310
20251117,159418,31435,31407,62842,28487,28536,57023,119865
20251118,148547,30106,29214,59320,28214,25482,53696,113016
20251119,147270,29226,28585,57811,25885,24821,50706,108517
20251120,157728,29857,31578,61435,28916,27864,56780,118215
20251121,174635,32076,31783,63859,31331,28080,59411,123270
20251122,165811,34098,32116,66214,31365,27544,58909,125123
20251123,177666,34141,34269,68410,32361,27878,60239,128649
20251124,159345,31574,32100,63674,29189,27251,56440,120114
20251125,162597,31648,30724,62372,28366,26240,54606,116978
20251126,146719,28089,30460,58549,25596,26063,51659,110208
20251127,150696,27602,31910,59512,25684,28555,54239,113751
20251128,163628,30296,32271,62567,29826,29417,59243,121810
20251129,170356,32078,32804,64882,28653,28815,57468,122350
20251130,177636,34679,33908,68587,30900,29015,59915,128502
